ID grupo	Turno	Min Estudiantes	Max Estudiantes
1	Turno 1	1	35
2	Turno 1	1	35
3	Turno 1	1	35
4	Turno 1	1	35
5	Turno 1	1	35
6	Turno 1	1	35
7	Turno 1	1	35
8	Turno 1	1	35
19	Turno 1	1	35
20	Turno 1	1	35
21	Turno 1	1	35
22	Turno 1	1	35
23	Turno 1	1	35
24	Turno 1	1	35
25	Turno 1	1	35
26	Turno 1	1	35
37	Turno 1	1	35
38	Turno 1	1	35
39	Turno 1	1	35
40	Turno 1	1	35
41	Turno 1	1	35
42	Turno 1	1	35
43	Turno 1	1	35
44	Turno 1	1	35
55	Turno 1	1	35
56	Turno 1	1	35
57	Turno 1	1	35
58	Turno 1	1	35
59	Turno 1	1	35
60	Turno 1	1	35
61	Turno 1	1	35
62	Turno 1	1	35
9	Turno 2	1	35
10	Turno 2	1	35
11	Turno 2	1	35
12	Turno 2	1	35
13	Turno 2	1	35
14	Turno 2	1	35
27	Turno 2	1	35
28	Turno 2	1	35
29	Turno 2	1	35
30	Turno 2	1	35
31	Turno 2	1	35
32	Turno 2	1	35
45	Turno 2	1	35
46	Turno 2	1	35
47	Turno 2	1	35
48	Turno 2	1	35
49	Turno 2	1	35
50	Turno 2	1	35
63	Turno 2	1	35
64	Turno 2	1	35
65	Turno 2	1	35
66	Turno 2	1	35
67	Turno 2	1	35
68	Turno 2	1	35
15	Turno 3	1	35
16	Turno 3	1	35
17	Turno 3	1	35
18	Turno 3	1	35
33	Turno 3	1	35
34	Turno 3	1	35
35	Turno 3	1	35
36	Turno 3	1	35
51	Turno 3	1	35
52	Turno 3	1	35
53	Turno 3	1	35
54	Turno 3	1	35
69	Turno 3	1	35
70	Turno 3	1	35
71	Turno 3	1	35
72	Turno 3	1	35
